# wave	flux	error	model
# 
1.386009999999999991e+03 1.089439999999999964e+00 3.679269999999999763e-02 9.975407508611570107e-01
1.386039999999999964e+03 1.078400000000000025e+00 3.666690000000000227e-02 9.976478660948703281e-01
1.386069999999999936e+03 1.036720000000000086e+00 3.586210000000000092e-02 9.977489714530612952e-01
1.386099999999999909e+03 1.009470000000000089e+00 3.543199999999999822e-02 9.978440936353034640e-01
1.386130000000000109e+03 9.922320000000000029e-01 3.506870000000000126e-02 9.979332953670316808e-01
1.386160000000000082e+03 1.028140000000000054e+00 3.572879999999999806e-02 9.980166976168485249e-01
1.386190000000000055e+03 1.015840000000000076e+00 3.555679999999999952e-02 9.980944294903397740e-01
1.386220000000000027e+03 1.016580000000000039e+00 3.551039999999999752e-02 9.981666024670500237e-01
1.386250000000000000e+03 9.844019999999999992e-01 3.495340000000000252e-02 9.982332479763985633e-01
1.386279999999999973e+03 9.725030000000000063e-01 3.496370000000000033e-02 9.982943972136445465e-01
1.386309999999999945e+03 1.059549999999999992e+00 3.631709999999999799e-02 9.983501812828851074e-01
1.386339999999999918e+03 1.066330000000000000e+00 3.644490000000000229e-02 9.984009718749172757e-01
1.386369999999999891e+03 1.014869999999999939e+00 3.566579999999999750e-02 9.984473826962733112e-01
1.386400000000000091e+03 9.705519999999999703e-01 3.483510000000000079e-02 9.984900900766570109e-01
1.386430000000000064e+03 1.011030000000000095e+00 3.542309999999999903e-02 9.985297070587642043e-01
1.386450000000000045e+03 9.390779999999999683e-01 3.414729999999999849e-02 9.985667574527308243e-01
1.386480000000000018e+03 1.003989999999999938e+00 3.529170000000000224e-02 9.986017111834250004e-01
1.386509999999999991e+03 1.035439999999999916e+00 3.598130000000000078e-02 9.986350029944808249e-01
1.386539999999999964e+03 1.016399999999999970e+00 3.551069999999999921e-02 9.986670343758637935e-01
1.386569999999999936e+03 9.379859999999999864e-01 3.412849999999999911e-02 9.986981777027834628e-01
1.386599999999999909e+03 1.007880000000000109e+00 3.534770000000000273e-02 9.987287382896903321e-01
1.386630000000000109e+03 9.775610000000000133e-01 3.483619999999999772e-02 9.987589329609514177e-01
1.386660000000000082e+03 1.010289999999999910e+00 3.538670000000000010e-02 9.987888908040313263e-01
1.386690000000000055e+03 9.505510000000000348e-01 3.442139999999999783e-02 9.988186990993971337e-01
1.386720000000000027e+03 9.308880000000000488e-01 3.396550000000000263e-02 9.988483975833659656e-01
1.386750000000000000e+03 9.887569999999999970e-01 3.511770000000000169e-02 9.988779600739294828e-01
1.386779999999999973e+03 9.997169999999999668e-01 3.528509999999999980e-02 9.989072618192393893e-01
1.386809999999999945e+03 9.705430000000000446e-01 3.472920000000000174e-02 9.989361040698685468e-01
